Availability,Accuracy,Avg Reward,Success Rate (%),Avg Learning Speed
0.2,0.2,-181.688,0.0,100.0
0.2,0.4,10.916,100.0,10.06
0.2,0.6,11.203,100.0,9.785
0.2,0.8,10.957,100.0,10.023
0.2,1.0,10.836,100.0,10.116
0.4,0.2,10.814,100.0,10.162
0.4,0.4,10.802,100.0,10.166
0.4,0.6,10.904,100.0,10.076
0.4,0.8,10.89,100.0,10.086
0.4,1.0,10.984,100.0,9.992
0.6,0.2,-160.664,0.0,100.0
0.6,0.4,10.926,100.0,10.058
0.6,0.6,-161.656,0.0,100.0
0.6,0.8,11.066,100.0,9.922
0.6,1.0,10.798,100.0,10.154
0.8,0.2,-161.484,0.0,100.0
0.8,0.4,11.866,100.0,9.134
0.8,0.6,-159.324,0.0,100.0
0.8,0.8,12.041,100.0,8.959
0.8,1.0,12.128,100.0,8.872
1.0,0.2,-155.856,0.0,100.0
1.0,0.4,11.96,100.0,9.04
1.0,0.6,12.075,100.0,8.925
1.0,0.8,11.962,100.0,9.038
1.0,1.0,12.196,100.0,8.804
