Availability,Accuracy,Avg Reward,Success Rate (%),Avg Learning Speed
0.2,0.2,5.923,98.75,0.06936496375680644
0.2,0.4,6.231,98.8,0.07082654578936186
0.2,0.6,6.508,98.9,0.07190623427051125
0.2,0.8,6.988,99.35000000000001,0.0738470627330798
0.2,1.0,7.238,99.6,0.07480550568521843
0.4,0.2,1.743,98.7,0.05453752181500873
0.4,0.4,3.0855,99.15,0.05842486562280907
0.4,0.6,4.0,99.4,0.06102025872589699
0.4,0.8,5.492,99.9,0.06623832549513149
0.4,1.0,6.9845,100.0,0.07288895367906993
0.6,0.2,-5.2895,98.5,0.04049812696162803
0.6,0.4,-0.718,99.2,0.04841677156967174
0.6,0.6,2.5135,99.95,0.05591590248266607
0.6,0.8,5.204,100.0,0.06490977541217707
0.6,1.0,7.6355,100.0,0.0759157335357753
0.8,0.2,-18.571,96.45,0.02758963181636341
0.8,0.4,-5.0855,99.9,0.040072932737582403
0.8,0.6,2.5195,100.0,0.05582070389907617
0.8,0.8,6.676,100.0,0.07115411982353778
0.8,1.0,9.5395,100.0,0.08786960151135714
1.0,0.2,-46.248,79.3,0.017406137404048668
1.0,0.4,-8.3855,99.85000000000001,0.0355694671693818
1.0,0.6,3.56,100.0,0.058713010803193987
1.0,0.8,8.909,100.0,0.08340979230961715
1.0,1.0,11.8245,100.0,0.10898588632772056
